2025-07-15 09:17:46,499 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 09:19:19,622 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 09:20:15,818 | WARNING | django.request | Not Found: /api/secured/\n
2025-07-15 09:20:15,819 | WARNING | django.server | "GET /api/secured/%0A HTTP/1.1" 404 3656
2025-07-15 09:29:40,642 | INFO | django.server | "POST /api/register/ HTTP/1.1" 201 23
2025-07-15 09:30:14,900 | WARNING | django.request | Unauthorized: /api/token/
2025-07-15 09:30:14,900 | WARNING | django.server | "POST /api/token/ HTTP/1.1" 401 63
2025-07-15 09:32:37,841 | WARNING | django.request | Unauthorized: /api/token/
2025-07-15 09:32:37,842 | WARNING | django.server | "POST /api/token/ HTTP/1.1" 401 63
2025-07-15 09:35:35,982 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/serializers.py changed, reloading.
2025-07-15 09:35:36,328 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 09:38:44,956 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 09:38:49,150 | INFO | django.server | "POST /api/register/ HTTP/1.1" 201 23
2025-07-15 09:39:07,898 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 09:40:18,832 | INFO | api.views | testuser a accédé à /api/secured/
2025-07-15 09:40:18,832 | INFO | django.server | "GET /api/secured/ HTTP/1.1" 200 48
2025-07-15 09:43:57,684 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 09:44:38,871 | WARNING | django.request | Unauthorized: /api/admin-only/
2025-07-15 09:44:38,871 | WARNING | django.server | "GET /api/admin-only/ HTTP/1.1" 401 107
2025-07-15 09:45:01,672 | WARNING | django.request | Forbidden: /api/admin-only/
2025-07-15 09:45:01,672 | WARNING | django.server | "GET /api/admin-only/ HTTP/1.1" 403 63
2025-07-15 11:37:41,079 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 11:37:45,120 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 11:38:17,363 | INFO | django.server | "POST /api/promote-admin/ HTTP/1.1" 200 44
2025-07-15 11:40:52,998 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 11:41:25,419 | INFO | django.server | "GET /api/admin-only/ HTTP/1.1" 200 73
2025-07-15 13:09:46,781 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 13:09:56,569 | INFO | django.server | "GET /admin HTTP/1.1" 301 0
2025-07-15 13:09:56,591 | INFO | django.server | "GET /admin/ HTTP/1.1" 302 0
2025-07-15 13:09:56,641 | INFO | django.server | "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
2025-07-15 13:09:56,728 | INFO | django.server | "GET /static/admin/css/base.css HTTP/1.1" 200 22120
2025-07-15 13:09:56,736 | INFO | django.server | "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
2025-07-15 13:09:56,736 | INFO | django.server | "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
2025-07-15 13:09:56,738 | INFO | django.server | "GET /static/admin/css/login.css HTTP/1.1" 200 951
2025-07-15 13:09:56,739 | INFO | django.server | "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
2025-07-15 13:09:56,739 | INFO | django.server | "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
2025-07-15 13:09:56,782 | INFO | django.server | "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
